treatment_distribution,BinaryChoice,ad_interim_round,chose_AGV,chose_SM,chose_RAND,chose_NSQ,total
symmetric,AGV vs. SM,0,23.0,67.0,0.0,0.0,90.0
symmetric,AGV vs. SM,1,16.0,29.0,0.0,0.0,45.0
symmetric,SM vs. RAND,0,0.0,87.0,3.0,0.0,90.0
symmetric,SM vs. RAND,1,0.0,42.0,3.0,0.0,45.0
symmetric,AGV vs. RAND,0,39.0,0.0,51.0,0.0,90.0
symmetric,AGV vs. RAND,1,17.0,0.0,28.0,0.0,45.0
symmetric,AGV vs. NSQ,0,28.0,0.0,0.0,62.0,90.0
symmetric,AGV vs. NSQ,1,21.0,0.0,0.0,24.0,45.0
symmetric,NSQ vs. RAND,0,0.0,0.0,42.0,48.0,90.0
symmetric,NSQ vs. RAND,1,0.0,0.0,20.0,25.0,45.0
symmetric,SM vs. NSQ,0,0.0,53.0,0.0,37.0,90.0
symmetric,SM vs. NSQ,1,0.0,23.0,0.0,22.0,45.0
+7,AGV vs. SM,0,24.0,60.0,0.0,0.0,84.0
+7,AGV vs. SM,1,11.0,31.0,0.0,0.0,42.0
+7,SM vs. RAND,0,0.0,79.0,5.0,0.0,84.0
+7,SM vs. RAND,1,0.0,36.0,6.0,0.0,42.0
+7,AGV vs. RAND,0,41.0,0.0,43.0,0.0,84.0
+7,AGV vs. RAND,1,17.0,0.0,25.0,0.0,42.0
+7,AGV vs. NSQ,0,25.0,0.0,0.0,59.0,84.0
+7,AGV vs. NSQ,1,14.0,0.0,0.0,28.0,42.0
+7,NSQ vs. RAND,0,0.0,0.0,40.0,44.0,84.0
+7,NSQ vs. RAND,1,0.0,0.0,33.0,9.0,42.0
+7,SM vs. NSQ,0,0.0,58.0,0.0,26.0,84.0
+7,SM vs. NSQ,1,0.0,12.0,0.0,30.0,42.0
-7,AGV vs. SM,0,24.0,66.0,0.0,0.0,90.0
-7,AGV vs. SM,1,23.0,22.0,0.0,0.0,45.0
-7,SM vs. RAND,0,0.0,85.0,5.0,0.0,90.0
-7,SM vs. RAND,1,0.0,42.0,3.0,0.0,45.0
-7,AGV vs. RAND,0,40.0,0.0,50.0,0.0,90.0
-7,AGV vs. RAND,1,4.0,0.0,41.0,0.0,45.0
-7,AGV vs. NSQ,0,30.0,0.0,0.0,60.0,90.0
-7,AGV vs. NSQ,1,28.0,0.0,0.0,17.0,45.0
-7,NSQ vs. RAND,0,0.0,0.0,40.0,50.0,90.0
-7,NSQ vs. RAND,1,0.0,0.0,21.0,24.0,45.0
-7,SM vs. NSQ,0,0.0,56.0,0.0,34.0,90.0
-7,SM vs. NSQ,1,0.0,20.0,0.0,25.0,45.0
three neg,AGV vs. SM,0,9.0,27.0,0.0,0.0,36.0
three neg,AGV vs. SM,1,11.0,7.0,0.0,0.0,18.0
three neg,SM vs. RAND,0,0.0,35.0,1.0,0.0,36.0
three neg,SM vs. RAND,1,0.0,17.0,1.0,0.0,18.0
three neg,AGV vs. RAND,0,17.0,0.0,19.0,0.0,36.0
three neg,AGV vs. RAND,1,0.0,0.0,18.0,0.0,18.0
three neg,AGV vs. NSQ,0,14.0,0.0,0.0,22.0,36.0
three neg,AGV vs. NSQ,1,11.0,0.0,0.0,7.0,18.0
three neg,NSQ vs. RAND,0,0.0,0.0,18.0,18.0,36.0
three neg,NSQ vs. RAND,1,0.0,0.0,9.0,9.0,18.0
three neg,SM vs. NSQ,0,0.0,23.0,0.0,13.0,36.0
three neg,SM vs. NSQ,1,0.0,4.0,0.0,14.0,18.0
