treatment_distribution,BinaryChoice,ad_interim_round,chose_AGV,chose_SM,chose_RAND,chose_NSQ,total
symmetric,AGV vs. SM,0,66.0,24.0,0.0,0.0,90.0
symmetric,AGV vs. SM,1,36.0,9.0,0.0,0.0,45.0
symmetric,SM vs. RAND,0,0.0,89.0,0.0,0.0,89.0
symmetric,SM vs. RAND,1,0.0,45.0,0.0,0.0,45.0
symmetric,AGV vs. RAND,0,85.0,0.0,4.0,0.0,89.0
symmetric,AGV vs. RAND,1,39.0,0.0,4.0,0.0,43.0
symmetric,AGV vs. NSQ,0,79.0,0.0,0.0,10.0,89.0
symmetric,AGV vs. NSQ,1,21.0,0.0,0.0,24.0,45.0
symmetric,NSQ vs. RAND,0,0.0,0.0,9.0,81.0,90.0
symmetric,NSQ vs. RAND,1,0.0,0.0,19.0,26.0,45.0
symmetric,SM vs. NSQ,0,0.0,67.0,0.0,22.0,89.0
symmetric,SM vs. NSQ,1,0.0,21.0,0.0,23.0,44.0
+7,AGV vs. SM,0,49.0,35.0,0.0,0.0,84.0
+7,AGV vs. SM,1,20.0,22.0,0.0,0.0,42.0
+7,SM vs. RAND,0,0.0,82.0,2.0,0.0,84.0
+7,SM vs. RAND,1,0.0,42.0,0.0,0.0,42.0
+7,AGV vs. RAND,0,82.0,0.0,0.0,0.0,82.0
+7,AGV vs. RAND,1,40.0,0.0,2.0,0.0,42.0
+7,AGV vs. NSQ,0,66.0,0.0,0.0,18.0,84.0
+7,AGV vs. NSQ,1,22.0,0.0,0.0,20.0,42.0
+7,NSQ vs. RAND,0,0.0,0.0,12.0,72.0,84.0
+7,NSQ vs. RAND,1,0.0,0.0,23.0,19.0,42.0
+7,SM vs. NSQ,0,0.0,77.0,0.0,7.0,84.0
+7,SM vs. NSQ,1,0.0,25.0,0.0,17.0,42.0
-7,AGV vs. SM,0,69.0,21.0,0.0,0.0,90.0
-7,AGV vs. SM,1,33.0,12.0,0.0,0.0,45.0
-7,SM vs. RAND,0,0.0,90.0,0.0,0.0,90.0
-7,SM vs. RAND,1,0.0,45.0,0.0,0.0,45.0
-7,AGV vs. RAND,0,86.0,0.0,3.0,0.0,89.0
-7,AGV vs. RAND,1,31.0,0.0,14.0,0.0,45.0
-7,AGV vs. NSQ,0,61.0,0.0,0.0,29.0,90.0
-7,AGV vs. NSQ,1,19.0,0.0,0.0,26.0,45.0
-7,NSQ vs. RAND,0,0.0,0.0,2.0,88.0,90.0
-7,NSQ vs. RAND,1,0.0,0.0,23.0,22.0,45.0
-7,SM vs. NSQ,0,0.0,55.0,0.0,35.0,90.0
-7,SM vs. NSQ,1,0.0,33.0,0.0,12.0,45.0
three neg,AGV vs. SM,0,27.0,9.0,0.0,0.0,36.0
three neg,AGV vs. SM,1,14.0,4.0,0.0,0.0,18.0
three neg,SM vs. RAND,0,0.0,36.0,0.0,0.0,36.0
three neg,SM vs. RAND,1,0.0,18.0,0.0,0.0,18.0
three neg,AGV vs. RAND,0,31.0,0.0,5.0,0.0,36.0
three neg,AGV vs. RAND,1,11.0,0.0,7.0,0.0,18.0
three neg,AGV vs. NSQ,0,29.0,0.0,0.0,7.0,36.0
three neg,AGV vs. NSQ,1,6.0,0.0,0.0,12.0,18.0
three neg,NSQ vs. RAND,0,0.0,0.0,2.0,34.0,36.0
three neg,NSQ vs. RAND,1,0.0,0.0,5.0,13.0,18.0
three neg,SM vs. NSQ,0,0.0,27.0,0.0,9.0,36.0
three neg,SM vs. NSQ,1,0.0,7.0,0.0,11.0,18.0
