treatment_distribution,BinaryChoice,ad_interim_round,chose_AGV,chose_SM,chose_RAND,chose_NSQ,total
symmetric,AGV vs. SM,0,25.0,65.0,0.0,0.0,90.0
symmetric,AGV vs. SM,1,21.0,24.0,0.0,0.0,45.0
symmetric,SM vs. RAND,0,0.0,85.0,5.0,0.0,90.0
symmetric,SM vs. RAND,1,0.0,36.0,9.0,0.0,45.0
symmetric,AGV vs. RAND,0,45.0,0.0,44.0,0.0,89.0
symmetric,AGV vs. RAND,1,22.0,0.0,23.0,0.0,45.0
symmetric,AGV vs. NSQ,0,41.0,0.0,0.0,49.0,90.0
symmetric,AGV vs. NSQ,1,24.0,0.0,0.0,21.0,45.0
symmetric,NSQ vs. RAND,0,0.0,0.0,66.0,24.0,90.0
symmetric,NSQ vs. RAND,1,0.0,0.0,21.0,24.0,45.0
symmetric,SM vs. NSQ,0,0.0,87.0,0.0,3.0,90.0
symmetric,SM vs. NSQ,1,0.0,28.0,0.0,17.0,45.0
+7,AGV vs. SM,0,30.0,54.0,0.0,0.0,84.0
+7,AGV vs. SM,1,12.0,30.0,0.0,0.0,42.0
+7,SM vs. RAND,0,0.0,76.0,8.0,0.0,84.0
+7,SM vs. RAND,1,0.0,35.0,7.0,0.0,42.0
+7,AGV vs. RAND,0,45.0,0.0,39.0,0.0,84.0
+7,AGV vs. RAND,1,19.0,0.0,23.0,0.0,42.0
+7,AGV vs. NSQ,0,50.0,0.0,0.0,34.0,84.0
+7,AGV vs. NSQ,1,14.0,0.0,0.0,28.0,42.0
+7,NSQ vs. RAND,0,0.0,0.0,52.0,32.0,84.0
+7,NSQ vs. RAND,1,0.0,0.0,28.0,14.0,42.0
+7,SM vs. NSQ,0,0.0,82.0,0.0,2.0,84.0
+7,SM vs. NSQ,1,0.0,29.0,0.0,13.0,42.0
-7,AGV vs. SM,0,36.0,54.0,0.0,0.0,90.0
-7,AGV vs. SM,1,23.0,22.0,0.0,0.0,45.0
-7,SM vs. RAND,0,0.0,86.0,4.0,0.0,90.0
-7,SM vs. RAND,1,0.0,31.0,14.0,0.0,45.0
-7,AGV vs. RAND,0,50.0,0.0,40.0,0.0,90.0
-7,AGV vs. RAND,1,13.0,0.0,32.0,0.0,45.0
-7,AGV vs. NSQ,0,45.0,0.0,0.0,45.0,90.0
-7,AGV vs. NSQ,1,28.0,0.0,0.0,17.0,45.0
-7,NSQ vs. RAND,0,0.0,0.0,56.0,34.0,90.0
-7,NSQ vs. RAND,1,0.0,0.0,24.0,21.0,45.0
-7,SM vs. NSQ,0,0.0,79.0,0.0,11.0,90.0
-7,SM vs. NSQ,1,0.0,31.0,0.0,14.0,45.0
three neg,AGV vs. SM,0,11.0,25.0,0.0,0.0,36.0
three neg,AGV vs. SM,1,11.0,7.0,0.0,0.0,18.0
three neg,SM vs. RAND,0,0.0,33.0,3.0,0.0,36.0
three neg,SM vs. RAND,1,0.0,16.0,2.0,0.0,18.0
three neg,AGV vs. RAND,0,20.0,0.0,16.0,0.0,36.0
three neg,AGV vs. RAND,1,5.0,0.0,13.0,0.0,18.0
three neg,AGV vs. NSQ,0,20.0,0.0,0.0,16.0,36.0
three neg,AGV vs. NSQ,1,9.0,0.0,0.0,9.0,18.0
three neg,NSQ vs. RAND,0,0.0,0.0,22.0,14.0,36.0
three neg,NSQ vs. RAND,1,0.0,0.0,9.0,9.0,18.0
three neg,SM vs. NSQ,0,0.0,26.0,0.0,10.0,36.0
three neg,SM vs. NSQ,1,0.0,10.0,0.0,8.0,18.0
